City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Aklavik,CA,40.59,overcast clouds,68.2191,-135.0107,Aklavik Inn
392,Necochea,AR,45.68,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
398,Tuatapere,NZ,43.52,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
401,Rio Grande,BR,43.95,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
404,Flin Flon,CA,40.84,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
432,Plavsk,RU,42.35,broken clouds,53.7094,37.2919,HOSTELPLAVSK
433,Umea,SE,35.91,few clouds,63.8284,20.2597,Hotel Avenue | ProfilHotels
437,Voyvozh,RU,31.78,light snow,62.892,54.9635,Gostinitsa Yakor'
441,Zapolyarnyy,RU,33.08,overcast clouds,69.4154,30.8136,Pechenga
447,Clyde River,CA,23.23,light snow,70.4692,-68.5914,Qamaq Hotel
448,Galich,RU,34.59,overcast clouds,58.3797,42.3475,Galich-Rus'-Otel'
456,Moose Factory,CA,43.32,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
462,Inza,RU,38.46,broken clouds,53.8533,46.3586,Gostevoy Dom
479,Eregli,TR,46.09,clear sky,37.5133,34.0467,Hotel Fuat Bey
481,Husavik,IS,47.17,broken clouds,66.0449,-17.3389,Bjarnabúð
491,Comodoro Rivadavia,AR,35.46,clear sky,-45.8667,-67.5,Austral Hotel
498,Qaqortoq,GL,37.17,broken clouds,60.7167,-46.0333,Siniffik Inn
502,Challapata,BO,40.44,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
507,Coihaique,CL,35.55,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
509,Petropavlovsk-Kamchatskiy,RU,43.39,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
515,Cacak,RS,40.6,clear sky,43.8914,20.3497,Aveny
524,Narsaq,GL,43.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
536,Timaru,NZ,49.06,overcast clouds,-44.4,171.25,The Grosvenor
540,Vestmannaeyjar,IS,49.01,overcast clouds,63.4427,-20.2734,Glamping & Camping
546,Monchegorsk,RU,32.13,overcast clouds,67.9397,32.8739,Север Inn
551,Zhigansk,RU,43.52,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
