City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
70,Hobart,AU,-42.8794,147.3294,55.06,67,40,4.61,scattered clouds
71,Hamilton,US,39.1834,-84.5333,70.2,93,100,9.22,thunderstorm
72,Cayenne,GF,4.9333,-52.3333,80.1,1,20,0.0,few clouds
73,Kavieng,PG,-2.5744,150.7967,83.52,72,8,8.84,light rain
74,Mountain Home,US,43.133,-115.6912,51.28,25,40,27.63,scattered clouds
75,Sao Joao Da Barra,BR,-21.6403,-41.0511,63.95,71,0,16.96,clear sky
76,Oussouye,SN,12.485,-16.5469,74.71,83,55,8.19,broken clouds
77,Grand Gaube,MU,-20.0064,57.6608,71.38,85,59,1.99,light rain
78,Lincoln,US,40.8,-96.667,83.17,62,0,13.8,clear sky
79,Ambon,ID,-3.6954,128.1814,86.14,74,40,2.3,scattered clouds
80,Namibe,AO,-15.1961,12.1522,66.69,79,99,5.64,overcast clouds
81,Brenham,US,30.1669,-96.3977,82.58,67,40,12.66,scattered clouds
82,Betsiamites,CA,48.9413,-68.646,45.01,77,97,5.19,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,71.22,82,20,10.22,moderate rain
84,Jamalpur,BD,24.9167,89.9333,76.42,88,75,14.79,broken clouds
85,Angoram,PG,-4.0625,144.0661,85.15,77,47,0.65,scattered clouds
86,Inirida,CO,3.8653,-67.9239,70.66,98,100,1.45,overcast clouds
87,Roma,US,43.2128,-75.4557,52.72,93,0,0.0,clear sky
88,Khatanga,RU,71.9667,102.5,30.96,92,100,3.0,overcast clouds
89,San Jeronimo,PE,-11.9472,-75.2829,49.24,81,97,2.44,overcast clouds
90,Vera Cruz,BR,-12.6333,-41.0333,67.91,65,88,1.45,overcast clouds
91,Matagami,CA,49.7502,-77.6328,50.11,93,100,0.0,overcast clouds
92,Bosaso,SO,11.2842,49.1816,85.44,48,99,5.93,overcast clouds
93,Portland,US,45.5234,-122.6762,57.63,78,84,5.01,broken clouds
94,Linfen,CN,36.0889,111.5189,77.05,37,0,1.07,clear sky
95,Qaanaaq,GL,77.484,-69.3632,15.42,67,96,6.38,overcast clouds
96,Beipiao,CN,41.7919,120.7792,79.07,24,0,1.81,clear sky
97,Barrow,US,71.2906,-156.7887,33.82,86,100,11.5,overcast clouds
98,Pichayevo,RU,53.2363,42.2032,43.3,92,99,4.76,overcast clouds
99,Beringovskiy,RU,63.05,179.3167,36.55,87,100,7.2,overcast clouds
100,Katsuura,JP,35.1333,140.3,69.28,74,100,12.66,light rain
101,Albany,US,42.6001,-73.9662,56.44,84,92,6.82,overcast clouds
102,Alofi,NU,-19.0595,-169.9187,78.69,94,75,11.5,light intensity drizzle
103,Athabasca,CA,54.7169,-113.2854,43.43,76,100,10.71,overcast clouds
104,Deputatskiy,RU,69.3,139.9,29.37,96,100,5.39,overcast clouds
105,Chaman,PK,30.9236,66.4512,75.11,12,0,2.06,clear sky
106,Point Pedro,LK,9.8167,80.2333,84.24,75,100,22.77,overcast clouds
107,Hit,IQ,33.6416,42.8251,77.02,29,38,13.78,scattered clouds
108,Labuhan,ID,-6.8844,112.2051,82.2,78,100,6.11,overcast clouds
109,Dhanwar,IN,24.4167,85.9833,94.28,28,0,9.33,clear sky
110,Touros,BR,-5.1989,-35.4608,78.8,86,68,5.99,broken clouds
111,Dukat,RU,62.55,155.55,34.34,93,100,7.9,overcast clouds
112,Codrington,AU,-38.2667,141.9667,58.21,59,36,10.63,scattered clouds
113,Coahuayana,MX,18.7333,-103.6833,73.45,78,66,2.89,broken clouds
114,Durango,MX,24.8333,-104.8333,73.71,21,1,21.23,clear sky
115,Hasaki,JP,35.7333,140.8333,77.29,73,100,16.17,overcast clouds
116,Severo-Kurilsk,RU,50.6789,156.125,44.51,89,100,2.62,overcast clouds
